id,entry,type
0,Alabama,transfer_state
1,Alaska,transfer_state
2,Arizona,transfer_state
3,Arkansas,transfer_state
4,California,transfer_state
5,Colorado,transfer_state
6,Connecticut,transfer_state
7,Delaware,transfer_state
8,District of Columbia,transfer_state
9,Florida,transfer_state
10,Georgia,transfer_state
11,Guam,transfer_state
12,Hawaii,transfer_state
13,Idaho,transfer_state
14,Illinois,transfer_state
15,Indiana,transfer_state
16,Iowa,transfer_state
17,Kansas,transfer_state
18,Kentucky,transfer_state
19,Louisiana,transfer_state
20,Maine,transfer_state
21,Maryland,transfer_state
22,Massachusetts,transfer_state
23,Michigan,transfer_state
24,Minnesota,transfer_state
25,Mississippi,transfer_state
26,Missouri,transfer_state
27,Montana,transfer_state
28,Nebraska,transfer_state
29,Nevada,transfer_state
30,New Hampshire,transfer_state
31,New Jersey,transfer_state
32,New Mexico,transfer_state
33,New York,transfer_state
34,North Carolina,transfer_state
35,North Dakota,transfer_state
36,Ohio,transfer_state
37,Oklahoma,transfer_state
38,Oregon,transfer_state
39,Pennsylvania,transfer_state
40,Puerto Rico,transfer_state
41,Rhode Island,transfer_state
42,South Carolina,transfer_state
43,South Dakota,transfer_state
44,Tennessee,transfer_state
45,Texas,transfer_state
46,Utah,transfer_state
47,Vermont,transfer_state
48,"Virgin Islands, U.S.",transfer_state
49,Virginia,transfer_state
50,Washington,transfer_state
51,West Virginia,transfer_state
52,Wisconsin,transfer_state
53,Wyoming,transfer_state
54,Alabama Agric Mech University,transfer_school
55,Alabama Southern Comm Coll,transfer_school
56,Alabama State University,transfer_school
57,Athens State College,transfer_school
58,Auburn Univ Montgomery,transfer_school
59,Auburn University,transfer_school
60,Bevill State Cmty Coll Brewer,transfer_school
61,Birmingham Southern College,transfer_school
62,Bishop State Cmty Coll,transfer_school
63,Calhoun Community College,transfer_school
64,Central Alabama Cmnty College,transfer_school
65,Centrl Alabama C C Childsbrg,transfer_school
66,Chattahoochee Valley Cmty Coll,transfer_school
67,Coastal Alabama Comm College,transfer_school
68,Community C Air Force,transfer_school
69,Enterprise State Comm College,transfer_school
70,Faulkner University,transfer_school
71,Gadsden St Cmty College,transfer_school
72,Geo C Wallace Community Colg,transfer_school
73,Huntingdon College Al,transfer_school
74,Jacksonville St University,transfer_school
75,Jefferson State Cmty Coll,transfer_school
76,Marion Military Institute,transfer_school
77,Northeast Alabama State Cc*,transfer_school
78,Northwst-Shoals Cmty Coll,transfer_school
79,Oakwood University,transfer_school
80,Samford University,transfer_school
81,Shelton State Cmnty College,transfer_school
82,Snead State Community College,transfer_school
83,Southrn Union St Comm Coll Wad,transfer_school
84,Spring Hill College,transfer_school
85,Talladega College,transfer_school
86,Trenholm State Community Coll,transfer_school
87,Troy University,transfer_school
88,Tuskegee University,transfer_school
89,Univ Alabama Birmingham,transfer_school
90,Univ Alabama Huntsville,transfer_school
91,Univ Alabama Tuscaloosa*,transfer_school
92,Univ North Alabama,transfer_school
93,Univ South Alabama,transfer_school
94,University Of Mobile,transfer_school
